"dataset","arm","spec","erc50","erc50_lo","erc50_hi","nsec","max_rhat","divergent"
21,"C","disp",4.56906049914235,4.06960854174622,5.12400711847138,1.68915798588173,1.00165320269734,2
21,"D","disp",4.58474915948158,3.95299114867923,5.28048266504874,1.6972769985488,1.00473577414341,0
21,"A","homosced",4.55056227849805,4.14360142432343,4.99451957396127,1.8299514587127,1.00562776624621,0
21,"B1","homosced",4.32858363076644,3.90312455594751,4.77254092622966,1.88512100043559,1.00535100112122,0
21,"B2","homosced",4.06960854174622,3.23718861275268,5.10550889782708,2.77206421282659,1.00219491903045,0
21,"B3","homosced",4.23609252754493,3.84762989401461,4.68004982300816,1.94458457349442,1.00353190087395,0
21,"C","homosced",4.62455516107525,4.16209964496773,5.08701067718278,1.70989910492008,1.00250565398378,0
21,"D","homosced",4.56475681736759,4.05695132767202,5.08855618075435,1.76560895612545,1.00154296950628,0
22,"A","disp",4.60605694043095,4.18059786561203,5.05001423589418,1.80594711269018,1.00474407461908,0
22,"B1","disp",4.31008541012214,3.92162277659181,4.77254092622966,2.05656647981322,1.0054614028779,0
22,"B2","disp",4.88353025009547,3.90312455594751,6.28985747457845,2.01587302582313,1.00194673668611,0
22,"B3","disp",4.25459074818923,3.86612811465891,4.69854804365246,2.13946147468703,1.00399808972169,0
22,"C","disp",4.51356583720945,4.03214964494151,5.06851245653848,1.8860189648491,1.00193914576518,0
22,"D","disp",4.61673690686398,4.08074221478768,5.22470403055068,1.78145878299368,1.00226233920416,0
22,"A","homosced",4.60605694043095,4.16209964496773,5.08701067718278,1.9829335344169,1.00608529569802,0
22,"B1","homosced",4.32858363076644,3.90312455594751,4.79103914687396,2.0312386173951,1.0020817906438,0
22,"B2","homosced",4.16209964496773,3.21869039210838,5.36448398684729,3.01476264080885,1.00396299834301,2
22,"B3","homosced",4.25459074818923,3.84762989401461,4.71704626429676,2.09207058397608,1.00644225779459,0
22,"C","homosced",4.56906049914235,4.12510320367913,5.05047669141028,1.83970032327598,1.00318887985445,0
22,"D","homosced",4.58474915948158,4.09693601190002,5.08055924390875,1.79464543758579,1.00549657925141,0
23,"A","disp",4.60605694043095,4.18013541009592,5.10550889782708,1.48966026635115,1.00276034124413,0
23,"B1","disp",4.49506761656515,3.99561565916902,5.05001423589418,1.69456084473716,1.00237236153582,0
23,"B2","disp",4.92052669138407,3.88462633530321,6.41888256357245,1.53189570775098,1.00299406984803,0
23,"B3","disp",4.36558007205504,3.88462633530321,4.90202847073977,1.82783161171681,1.00518454358608,0
